iter	Passed	Remaining
0	2	1095
1	3	983
2	5	924
3	7	886
4	8	864
5	10	856
6	12	848
7	13	849
8	16	877
9	17	871
10	19	859
11	20	852
12	22	844
13	24	838
14	25	835
15	27	830
16	29	826
17	31	831
18	33	835
19	35	843
20	37	851
21	39	854
22	41	852
23	42	850
24	44	845
25	46	843
26	48	848
27	50	850
28	52	849
29	53	845
30	55	841
31	57	838
32	58	834
33	60	830
34	62	833
35	64	834
36	66	832
37	68	829
38	69	827
39	71	823
40	73	819
41	74	815
42	76	811
43	78	809
44	80	809
45	81	807
46	83	805
47	85	803
48	87	800
49	88	797
50	90	794
51	91	791
52	93	788
53	95	787
54	97	789
55	99	791
56	101	790
57	103	787
58	105	784
59	106	781
60	108	779
61	109	776
62	111	775
63	113	776
64	115	773
65	117	771
66	118	768
67	120	765
68	122	762
69	123	760
70	125	758
71	127	758
72	129	759
73	132	760
74	134	760
75	136	759
76	137	756
77	139	756
78	141	754
79	143	752
80	145	755
81	148	755
82	149	753
83	151	750
84	153	747
85	154	745
86	156	743
87	158	740
88	159	738
89	161	737
90	163	735
91	165	733
92	166	730
93	168	728
94	170	725
95	171	722
96	173	720
97	175	720
98	177	719
99	179	718
100	181	716
101	183	714
102	184	711
103	186	711
104	188	709
105	190	706
106	191	703
107	193	703
108	195	702
109	198	702
110	200	701
111	202	700
112	203	698
113	205	696
114	207	693
115	209	692
116	211	692
117	213	691
118	215	690
119	217	689
120	219	688
121	221	687
122	223	686
123	226	685
124	228	685
125	230	684
126	232	683
127	234	682
128	236	681
129	238	678
130	239	675
131	242	675
132	244	675
133	246	674
134	248	672
135	250	670
136	251	667
137	253	665
138	255	663
139	257	661
140	259	661
141	261	659
142	263	656
143	264	654
144	266	651
145	267	649
146	269	646
147	271	645
148	272	642
149	274	640
150	276	638
151	278	637
152	280	635
153	281	633
154	283	630
155	284	628
156	286	626
157	288	624
158	290	622
159	293	622
160	295	621
161	296	619
162	298	617
163	300	614
164	301	612
165	303	610
166	304	607
167	307	606
168	308	605
169	310	603
170	312	601
171	314	599
172	315	597
173	317	594
174	319	592
175	320	590
176	322	588
177	324	587
178	327	586
179	329	585
180	331	583
181	332	581
182	334	579
183	336	577
184	338	575
185	340	575
186	343	574
187	345	572
188	346	570
189	348	568
190	349	566
191	351	563
192	353	561
193	355	560
194	357	558
195	358	556
196	360	554
197	362	552
198	363	550
199	365	548
200	367	546
201	368	544
202	370	542
203	372	540
204	374	538
205	376	537
206	377	535
207	379	532
208	381	530
209	382	528
210	384	526
211	385	524
212	387	522
213	390	521
214	392	519
215	394	518
216	396	516
217	398	514
218	399	512
219	401	510
220	403	508
221	405	507
222	406	505
223	408	503
224	410	501
225	411	499
226	413	497
227	415	495
228	416	493
229	418	491
230	420	489
231	422	487
232	424	486
233	426	484
234	428	482
235	430	481
236	431	479
237	433	477
238	435	475
239	437	473
240	439	472
241	441	470
242	443	468
243	444	466
244	446	464
245	448	462
246	449	460
247	451	458
248	453	457
249	456	456
250	457	453
251	459	451
252	460	449
253	462	447
254	463	445
255	465	443
256	467	441
257	468	439
258	470	438
259	472	436
260	474	434
261	476	432
262	477	430
263	479	428
264	480	426
265	482	424
266	484	422
267	486	421
268	488	419
269	490	417
270	492	415
271	493	413
272	495	411
273	496	409
274	498	407
275	500	405
276	502	404
277	503	402
278	505	400
279	507	398
280	509	396
281	510	394
282	512	392
283	513	390
284	515	389
285	517	387
286	519	385
287	521	384
288	523	382
289	525	380
290	527	378
291	529	377
292	531	375
293	532	373
294	535	371
295	537	370
296	539	368
297	541	366
298	542	364
299	544	362
300	545	360
301	547	358
302	549	357
303	551	355
304	553	353
305	554	351
306	556	349
307	557	347
308	559	345
309	561	343
310	562	342
311	564	340
312	566	338
313	568	336
314	570	334
315	571	333
316	573	331
317	575	329
318	576	327
319	578	325
320	579	323
321	581	321
322	584	320
323	586	318
324	588	316
325	590	314
326	591	313
327	593	311
328	594	309
329	596	307
330	598	305
331	600	303
332	602	301
333	603	300
334	605	298
335	607	296
336	608	294
337	610	292
338	611	290
339	613	288
340	615	287
341	617	285
342	619	283
343	621	281
344	623	280
345	625	278
346	626	276
347	628	274
348	630	272
349	632	271
350	634	269
351	636	267
352	638	265
353	640	264
354	641	262
355	643	260
356	644	258
357	647	256
358	648	254
359	650	253
360	652	251
361	654	249
362	656	247
363	657	245
364	659	243
365	660	241
366	662	240
367	664	238
368	666	236
369	667	234
370	669	232
371	671	231
372	673	229
373	674	227
374	676	225
375	677	223
